Code,Company,Price,Change,Volume,Value,Capitalisation
NZM,NZME Limited,$0.980,-$0.020 / -2.00%,"596,803","$590,738.46","$193,618,660"
SPG,Stride Property Ltd & Stride Investment Management Ltd (NS),$2.700,$0.020 / 0.75%,"2,178,272","$5,860,450.34","$1,277,734,562"
CNU,Chorus Limited (NS),$7.200,$0.020 / 0.28%,"169,371","$1,219,971.90","$3,218,579,165"
VHP,Vital Healthcare Property Trust,$3.180,$0.020 / 0.63%,"539,978","$1,714,401.41","$1,665,822,569"
CDI,CDL Investments New Zealand Limited,$1.160,$0.010 / 0.87%,"18,817","$21,759.55","$333,515,107"
AGL,Accordant Group Limited,$1.650,$0.000 / 0.00%,8,$13.20,"$55,783,617"
PX1,Plexure Group Limited,$0.660,$0.060 / 10.00%,"951,596","$609,164.41","$115,133,939"
BLT,Blis Technologies Limited,$0.067,$0.000 / 0.00%,"209,051","$14,178.24","$85,344,707"
TWF,Smartshares Total World ETF,$3.040,-$0.006 / -0.20%,"36,662","$111,305.61","$140,288,567"
ALF,Allied Farmers Limited,$0.620,-$0.010 / -1.59%,"8,087","$5,070.70","$17,859,989"
SPY,Smartpay Holdings Limited,$0.775,$0.010 / 1.31%,"10,160","$7,819.33","$184,670,846"
ENS,Enprise Group Limited,$2.350,-$0.100 / -4.08%,898,"$2,104.04","$37,970,593"
USM,Smartshares US Mid Cap ETF,$7.012,$0.028 / 0.40%,"49,124","$344,122.54","$102,674,928"
SCY,Smiths City Group Limited (in receivership),$0.140,$0.000 / 0.00%,0,$0.00,"$7,376,341"
MHJ,Michael Hill International Limited,$0.860,$0.000 / 0.00%,"654,917","$566,591.54","$333,925,422"
NGB,Smartshares S&P/NZX NZ Government Bond ETF,$2.378,-$0.004 / -0.17%,901,"$2,141.81","$91,080,793"
CO2,Carbon Fund,$1.950,$0.020 / 1.04%,"230,172","$438,748.46","$50,320,128"
PPH,Pushpay Holdings Limited,$1.750,-$0.020 / -1.13%,"1,178,638","$2,059,317.84","$1,994,226,516"
SKL,Skellerup Holdings Limited,$5.490,-$0.010 / -0.18%,"149,809","$823,259.30","$1,072,067,337"
SKO,Serko Limited,$8.320,$0.320 / 4.00%,"127,480","$1,038,409.99","$898,870,710"
SMW,SMW Group Limited,$1.000,$0.000 / 0.00%,0,$0.00,"$54,122,884"
SKC,SkyCity Entertainment Group Limited (NS),$3.370,$0.050 / 1.51%,"887,474","$2,981,976.11","$2,561,891,554"
EMG,Smartshares Emerging Markets Equities ESG ETF,$2.495,-$0.007 / -0.28%,"7,243","$18,040.74","$38,754,027"
MHM,MHM Automation Limited,$0.640,$0.020 / 3.23%,"16,262","$10,074.47","$41,996,203"
ACE,Ascension Capital Limited,$0.001,$0.000 / 0.00%,0,$0.00,"$1,914,888"
ASR,Smartshares Australian Resources ETF,$5.561,$0.149 / 2.75%,"71,816","$397,100.86","$45,086,547"
STU,Steel & Tube Holdings Limited,$1.100,-$0.010 / -0.90%,"293,244","$323,636.07","$182,597,294"
NZA,NZ Automotive Investments Limited,$1.150,$0.000 / 0.00%,77,$88.55,"$52,387,675"
ASP,Smartshares Australian Property ETF,$1.661,$0.017 / 1.03%,"16,493","$27,180.76","$67,557,074"
SUM,Summerset Group Holdings Limited,$15.500,$0.100 / 0.65%,"129,092","$1,984,417.04","$3,558,906,532"
PYS,PaySauce Limited,$0.330,$0.000 / 0.00%,"2,102",$693.66,"$45,686,006"
IKE,ikeGPS Group Limited,$1.050,$0.020 / 1.94%,"25,360","$26,626.54","$166,197,534"
MPG,Metro Performance Glass Limited,$0.450,$0.010 / 2.27%,"197,003","$88,361.46","$83,420,139"
KMD,Kathmandu Holdings Limited,$1.380,$0.030 / 2.22%,"2,401,307","$3,302,333.80","$978,421,910"
FPH,Fisher & Paykel Healthcare Corporation Limited,$33.450,$0.050 / 0.15%,"337,872","$11,318,800.43","$19,282,531,306"
BGI,Blackwell Global Holdings Limited,$0.005,$0.000 / 0.00%,"101,549",$507.80,"$2,511,652"
HFL,Henderson Far East Income Limited,$6.240,-$0.150 / -2.35%,"4,058","$25,333.84","$942,823,839"
BIT,The Bankers Investment Trust Plc,$2.350,$0.030 / 1.29%,"9,481","$22,183.07","$3,090,491,651"
FWL,Foley Wines Limited,$1.480,$0.020 / 1.37%,"5,457","$8,117.64","$97,289,499"
SCL,Scales Corporation Limited,$5.140,-$0.010 / -0.19%,"100,677","$517,922.63","$731,909,462"
TAH,Third Age Health Services Limited,$2.240,-$0.050 / -2.18%,"2,578","$5,798.57","$21,840,000"
MDZ,Smartshares NZ Mid Cap ETF,$6.809,$0.030 / 0.44%,"16,362","$111,124.75","$203,185,149"
TRA,Turners Automotive Group Limited,$4.490,$0.030 / 0.67%,"67,554","$303,105.65","$386,450,924"
POT,Port of Tauranga Limited,$7.380,$0.030 / 0.41%,"81,440","$598,986.36","$5,020,366,984"
MFT,Mainfreight Limited,$95.450,-$1.060 / -1.10%,"170,678","$16,373,815.04","$9,611,676,407"
NZK,New Zealand King Salmon Investments Limited,$1.450,$0.000 / 0.00%,963,"$1,396.21","$201,529,171"
HMY,Harmoney Corp Limited,$2.030,$0.030 / 1.50%,"22,714","$45,355.31","$204,852,830"
MCKPA,Millennium & Copthorne Hotels New Zealand Limited,$2.290,$0.000 / 0.00%,0,$0.00,"$120,773,553"
TWR,Tower Limited,$0.685,-$0.005 / -0.72%,"725,066","$499,838.63","$288,828,372"
GSH,Good Spirits Hospitality Limited,$0.070,$0.000 / 0.00%,34,$2.38,"$4,041,412"
WHS,The Warehouse Group Limited,$3.800,$0.020 / 0.53%,"46,978","$178,406.12","$1,318,003,856"
GBF,Smartshares Global Bond ETF,$3.343,$0.000 / 0.00%,"22,997","$76,836.98","$224,364,168"
SAN,Sanford Limited (NS),$5.120,$0.030 / 0.59%,"113,464","$575,979.86","$478,751,421"
