Code,Company,Price,Change,Volume,Value,Capitalisation
ENS,Enprise Group Limited,$2.450,-$0.050 / -2.00%,"5,230","$12,841.15","$39,586,363"
ERD,EROAD Limited,$6.270,-$0.030 / -0.48%,"37,170","$232,780.33","$608,326,604"
ESG,Smartshares Global Equities ESG ETF,$2.773,$0.010 / 0.36%,"16,698","$46,101.65","$22,877,849"
EUF,Smartshares Europe ETF,$2.009,-$0.001 / -0.05%,"91,598","$183,860.24","$207,069,711"
EUG,Smartshares Europe Equities ESG ETF,$2.855,$0.002 / 0.07%,"7,313","$20,905.60","$41,320,189"
EVO,Evolve Education Group Limited,$0.690,$0.020 / 2.99%,"25,225","$17,383.71","$110,089,144"
FPH,Fisher & Paykel Healthcare Corporation Limited,$33.400,$0.590 / 1.80%,"383,448","$12,671,162.55","$19,253,708,389"
FBU,Fletcher Building Limited,$7.430,$0.060 / 0.81%,"626,361","$4,614,514.31","$6,101,159,501"
FNZ,Smartshares NZ Top 50 ETF,$3.600,$0.011 / 0.31%,"406,233","$1,457,843.28","$808,744,244"
FRE,Freightways Limited,$12.800,$0.000 / 0.00%,"504,078","$6,444,715.21","$2,121,452,109"
FSF,Fonterra Shareholders' Fund (NS),$3.750,$0.000 / 0.00%,"49,995","$186,677.90","$402,821,858"
GBF,Smartshares Global Bond ETF,$3.343,-$0.002 / -0.06%,"359,985","$1,202,950.29","$223,428,128"
GENWB,General Capital Limited,$0.002,$0.000 / 0.00%,0,$0.00,"$645,970"
GEO,Geo Limited,$0.129,$0.004 / 3.20%,"257,486","$32,223.07","$14,664,268"
GFL,Geneva Finance Limited,$0.750,$0.020 / 2.74%,"4,768","$3,504.65","$54,701,456"
GNE,Genesis Energy Limited (NS),$3.380,-$0.010 / -0.29%,"492,410","$1,677,344.03","$3,527,262,040"
FWL,Foley Wines Limited,$1.460,-$0.010 / -0.68%,"8,763","$12,839.89","$95,974,776"
GTK,Gentrack Group Limited,$1.960,-$0.010 / -0.51%,"17,552","$34,641.82","$193,936,753"
THL,Tourism Holdings Limited,$2.400,-$0.020 / -0.83%,"58,628","$140,009.38","$364,566,358"
NTL,New Talisman Gold Mines Limited,$0.003,$0.000 / 0.00%,"2,414,183","$7,242.57","$8,376,676"
HGH,Heartland Group Holdings Limited,$2.300,$0.050 / 2.22%,"373,312","$847,760.08","$1,347,580,040"
HLG,Hallenstein Glasson Holdings Limited,$7.250,$0.050 / 0.69%,"23,855","$173,428.76","$432,455,692"
HMY,Harmoney Corp Limited,$2.000,$0.000 / 0.00%,"27,344","$53,775.49","$201,825,448"
IFT,Infratil Limited,$7.370,-$0.015 / -0.20%,"711,259","$5,253,574.95","$5,328,160,168"
IKE,ikeGPS Group Limited,$1.030,-$0.020 / -1.90%,"10,165","$10,666.25","$157,365,722"
IPL,Investore Property Limited (NS),$2.040,$0.010 / 0.49%,"151,135","$308,288.47","$750,995,467"
JPN,Smartshares Japan Equities ESG ETF,$2.178,-$0.017 / -0.77%,"2,374","$5,191.56","$25,351,572"
JLG,Just Life Group Limited,$0.900,-$0.020 / -2.17%,"2,875","$2,588.60","$87,632,137"
KFL,Kingfish Limited,$2.090,$0.010 / 0.48%,"147,476","$307,623.57","$656,649,873"
CDI,CDL Investments New Zealand Limited,$1.150,-$0.005 / -0.43%,"1,208","$1,389.50","$330,639,976"
KMD,Kathmandu Holdings Limited,$1.350,-$0.030 / -2.17%,"726,583","$989,341.88","$957,151,868"
KPG,Kiwi Property Group Limited,$1.165,$0.000 / 0.00%,"1,942,083","$2,262,622.16","$1,829,160,556"
SNC,Southern Charter Financial Group Limited,$0.008,$0.000 / 0.00%,0,$0.00,"$4,119,156"
SNC,Southern Charter Financial Group Limited,$0.008,$0.000 / 0.00%,0,$0.00,"$4,119,156"
LIC,Livestock Improvement Corporation Limited (NS),$1.300,$0.000 / 0.00%,0,$0.00,"$169,489,349"
LIV,Smartshares Healthcare Innovation ETF,$3.620,-$0.002 / -0.06%,"15,981","$57,938.11","$38,153,642"
PYS,PaySauce Limited,$0.330,$0.005 / 1.54%,"68,775","$22,246.57","$45,686,006"
MCK,Millennium & Copthorne Hotels New Zealand Limited,$2.400,$0.050 / 2.13%,"14,058","$33,302.85","$253,148,983"
MCKPA,Millennium & Copthorne Hotels New Zealand Limited,$2.290,$0.000 / 0.00%,0,$0.00,"$120,773,553"
MDZ,Smartshares NZ Mid Cap ETF,$6.779,$0.026 / 0.39%,"25,538","$172,808.42","$202,289,929"
MEL,Meridian Energy Limited (NS),$5.240,$0.000 / 0.00%,"736,404","$3,841,226.95","$13,425,478,188"
MFB,My Food Bag Group Limited,$1.410,$0.020 / 1.44%,"262,032","$365,957.63","$341,836,909"
MFT,Mainfreight Limited,$96.510,-$2.010 / -2.04%,"122,231","$11,863,674.89","$9,718,416,867"
MLN,Marlin Global Limited,$1.590,$0.060 / 3.92%,"160,399","$248,864.81","$302,513,344"
MLNWE,Marlin Global Limited,$0.242,$0.000 / 0.00%,"66,734","$16,149.62","$11,436,163"
SVR,Savor Limited,$0.540,$0.000 / 0.00%,"4,497","$2,429.00","$33,489,054"
MOV,Move Logistics Group Limited,$1.700,$0.090 / 5.59%,"122,226","$200,576.31","$149,064,299"
MPG,Metro Performance Glass Limited,$0.440,$0.005 / 1.15%,"135,184","$59,233.62","$81,566,358"
MCY,Mercury NZ Limited (NS),$6.670,$0.010 / 0.15%,"910,580","$6,067,840.12","$9,086,547,223"
MWE,Marlborough Wine Estates Group Limited,$0.260,$0.005 / 1.96%,"3,449",$896.74,"$77,208,070"
GEN,General Capital Limited,$0.055,-$0.001 / -1.79%,"21,684","$1,247.41","$8,958,058"
MZY,Smartshares Australian Mid Cap ETF,$9.362,$0.062 / 0.67%,"6,009","$56,105.43","$182,861,149"
APL,Asset Plus Limited,$0.340,$0.000 / 0.00%,"713,982","$242,738.00","$123,324,052"
NGB,Smartshares S&P/NZX NZ Government Bond ETF,$2.382,$0.008 / 0.34%,"1,154","$2,747.08","$91,233,999"
NPF,Smartshares NZ Property ETF,$1.584,-$0.005 / -0.31%,"124,095","$196,718.49","$147,924,609"
NPH,Napier Port Holdings Limited,$3.150,-$0.040 / -1.25%,"70,199","$222,508.35","$629,609,202"
MMH,Marsden Maritime Holdings Limited,$6.440,$0.100 / 1.58%,"1,377","$8,871.24","$265,976,192"
